sl	prompt	solution0	solution1	label	Category	langauge (FLORES-200 code)
1	ଦେଖିଲେ ଯଦି ଜଗନ୍ନାଥ ମନ୍ଦିରର ପଥର ମଝିଆକୁ ଖାଲିପାଉଁ ଚାଲୁଛ, ତାହାର ଛୁଆଁ କେମିତି ଲାଗିବ? ଚାଲିବାବେଳେ କେଉଁ ଶାରୀରିକ ଅନୁଭୂତି ହେବ?	ମଝିଆଟା କାଠ ପରି ନରମ ଏବଂ ଗରମ ଲାଗିବ; ଖାଲିପାଉଁ ଚାଲିଲେ ପାଦ ଡୁବିଯିବ ଭଳି ଲାଗିପାରେ।	ମଝିଆଟା କଠିନ ପଥରର, ସାଧାରଣତଃ ଠଣ୍ଡା/ଶୀତଳ ଛୁଆଁ ଲାଗିପାରେ। ଦୀର୍ଘ ସମୟ ଚାଲିଲେ ପାଦତଳାରେ ହାଲୁକା କଠିନତା ଓ ଅଳ୍ପ ଖରାପନ ଅନୁଭବ ହୋଇପାରେ।	1	Jaganath	ory_Orya
2	କଳ୍ପନା କର ତୁମେ ଜଗନ୍ନାଥ ମୂର୍ତ୍ତିର ନିକଟରୁ ଦେଖୁଛ। ତାହାର ଦେହ ମାଳମସଲା/ସାମଗ୍ରୀ ଓ ପୃଷ୍ଠତଳ ଦେଖି କଣ ବୁଝିବ?	ମୋ ଭାବରେ ମୂର୍ତ୍ତିଟା କଳା ପଥରରେ ଖୋଦା ହୋଇଥାଏ, ତେଣୁ ପୃଷ୍ଠତଳ ଠଣ୍ଡା ଓ ପଥର ପରି ଖୁବ ହାର୍ଡ ଲାଗିବ।	ସାଧାରଣତଃ ଜଗନ୍ନାଥ ବିଗ୍ରହ କାଠର ହୋଇଥାଏ ଏବଂ ରଙ୍ଗ-ଲେପ/ସଜାଣା ଥିବାରୁ ପୃଷ୍ଠତଳ ମସ୍ତ ଓ ରଙ୍ଗିନ ଦେଖାଯାଏ। ଛୁଆଁଲେ ପଥର ଭଳି “ପଥର-ଠଣ୍ଡା” ନୁହେଁ; କାଠ ଓ ରଙ୍ଗର ଭାବ ଆସିବ।	1	Jaganath	ory_Orya
3	ଏକ ଯାତ୍ରୀ ଭାବେ ରଥଯାତ୍ରାରେ ଜଗନ୍ନାଥ ରଥର ଦୌରି ଧରି ଟାଣୁଛ। ଦୌରିର ମୋଟାଇ, ପତଳା/ଖରାପନ, ଏବଂ ହାତରେ ଧରିଲେ କେମିତି ଗ୍ରିପ୍ ମିଳିବ ବର୍ଣ୍ଣନା କର।	ଦୌରିଟା ସମ୍ପୂର୍ଣ୍ଣ ପ୍ଲାଷ୍ଟିକ/ନାଇଲନ ଭଳି ଚିକ୍କଣ ହୋଇଥାଏ, ତେଣୁ ଖୁବ ସ୍ଲିପ୍ ହେବ ଏବଂ ହାତରେ ଧରିଲେ ବେଶି ଘସା ଲାଗିବ ନାହିଁ।	ରଥର ଦୌରି ସାଧାରଣତଃ ମୋଟା ଏବଂ ରେଶାଳ/କୃଷିଜ ତନ୍ତୁ (ପ୍ରକାର) ଭଳି ଲାଗେ, ଯାହାର ପୃଷ୍ଠତଳ ଅଳ୍ପ ଖରାପ ଥାଇପାରେ। ଏହି ଖରାପନ ହାତକୁ ଭଲ ଗ୍ରିପ୍ ଦେଇଥାଏ, କିନ୍ତୁ ଦୀର୍ଘ ସମୟ ଟାଣିଲେ ହାତରେ ଘସା/ଛାଳା ପଡିବାର ସମ୍ଭାବନା ରହେ।	1	Jaganath	ory_Orya
4	ତୁମେ ଜଗନ୍ନାଥ ମହାପ୍ରସାଦ ହାତରେ ନେଇ ଖାଇବାକୁ ଯାଉଛ। ତାହାର ତାପମାତ୍ରା, ଆର୍ଦ୍ରତା, ଓ ଘ୍ରାଣ ବିଷୟରେ କ’ଣ ଧାରଣା କରିବ?	ନିଶ୍ଚୟ ମହାପ୍ରସାଦ ସବୁବେଳେ ଏକଦମ ଠଣ୍ଡା ଏବଂ ଖୁବ ଶୁଖିଲା ଥାଏ; ଘ୍ରାଣ ମଧ୍ୟ ଅଧିକ ଆସେ ନାହିଁ।	ସାଧାରଣତଃ ମହାପ୍ରସାଦ ତରତଜା ପକା ଖାଦ୍ୟ ହୋଇଥିବାରୁ ଅନେକ ସମୟ ହାଲୁକା ଗରମ କିମ୍ବା ଗରମ-ଉଷ୍ଣ ଲାଗିପାରେ। ଭାତ/ଡାଲ/ତରକାରୀ ଧରଣର ଖାଦ୍ୟରେ ଆର୍ଦ୍ରତା ଥାଏ ଏବଂ ଘିଅ/ମସଲାର ମିଠା-ମସଲା ଘ୍ରାଣ ଅନୁଭବ ହୋଇପାରେ; ସମୟ ହେଲେ ଧୀରେଧୀରେ ତାପ କମିଯାଏ।	1	Jaganath	ory_Orya
5	ମନେ କର ଆରତି ସମୟରେ ଦୀପ ଜଳୁଛ ଏବଂ ତୁମେ ନିକଟରେ ଦାଉଡ଼ିଛ। ଆଲୋକର ରଙ୍ଗ, ତାପ, ଏବଂ ଧୂଆଁ/ଗନ୍ଧ ଦିଗରୁ କ’ଣ ଅନୁଭବ ହେବ?	ଏହା ଲାଇଟ୍ ଭଳି ଥାଏ, ତେଣୁ ଆଲୋକ ତ ଥାଏ କିନ୍ତୁ ତାପ ନାହିଁ ଏବଂ କୌଣସି ଧୂଆଁ-ଗନ୍ଧ ମଧ୍ୟ ଆସେ ନାହିଁ।	ପୂଜାର ଦୀପ (ତେଲ/ଘିଅ ଦୀପ) ଆଲୋକ ସାଧାରଣତଃ ଉଷ୍ଣ-ହଳଦିଆ ରଙ୍ଗର ଓ ଝିଙ୍କୁରିଆ ଦେଖାଯାଏ। ନିକଟରେ ଥିଲେ ମୁହଁ/ହାତରେ ହାଲୁକା ତାପ ଲାଗେ, ଏବଂ ଘିଅ/ତେଲ ସହ କପୂର/ଧୂପର ଗନ୍ଧ ମିଶି ଗୋଟେ ନିଜସ୍ୱ ପୂଜା-ସୁଗନ୍ଧ ଅନୁଭବ ହୁଏ।	1	Jaganath	ory_Orya
6	ଧାରଣା କର ଜଗନ୍ନାଥ ପୂଜାବେଳେ ଘଣ୍ଟା ବାଜୁଛ। ଘଣ୍ଟାର ସାମଗ୍ରୀ, ତାହାର କମ୍ପନ, ଏବଂ ଶବ୍ଦର ତୀକ୍ଷ୍ଣତା ବିଷୟରେ କ’ଣ କହିବ?	ଘଣ୍ଟାଟା କାଠର ହୋଇପାରେ, ତେଣୁ ଶବ୍ଦ ମନ୍ଦ ଓ ଭାରି ହେବ; କମ୍ପନ ଅଧିକ ହେବ ନାହିଁ।	ଘଣ୍ଟା ସାଧାରଣତଃ ଧାତୁର ହୋଇଥାଏ, ଯେଉଁଥିରେ ଆଘାତ ହେଲେ ଧାତୁ ଦେହ କମ୍ପି ଝଙ୍କାର ଶବ୍ଦ ଦିଏ। ଏହି ଶବ୍ଦ ଅପେକ୍ଷାକୃତ ସ୍ପଷ୍ଟ/ତୀକ୍ଷ୍ଣ ଓ ଦୂର ପର୍ଯ୍ୟନ୍ତ ଶୁଣାଯାଇପାରେ, କାରଣ ଧାତୁର ରେଜୋନାନ୍ସ ଭଲ ଥାଏ।	1	Jaganath	ory_Orya
7	ତୁମେ ଧୂପ ଓ କପୂର ସହିତ ଜଗନ୍ନାଥ ପୂଜା କରୁଛ। ଧୂଆଁର ଦୃଶ୍ୟମାନତା, ଗନ୍ଧର ତୀବ୍ରତା, ଏବଂ ଘରେ/ଗର୍ଭଗୃହରେ ହାୱାରେ କେମିତି ପ୍ରସାରିତ ହୁଏ?	ଧୂପ-କପୂରରେ ପ୍ରାୟ ଧୂଆଁ ଦେଖାଯାଏ ନାହିଁ, ଗନ୍ଧ ମଧ୍ୟ ଖୁବ ହାଲୁକା ଥାଏ ଏବଂ ହାୱାରେ ଦୀର୍ଘ ସମୟ ରହେ ନାହିଁ।	ଧୂପ ଜଳିଲେ ସାଧାରଣତଃ ପତଳା ଧୂଆଁ ଧାରା ଦେଖାଯାଏ ଏବଂ କପୂରର ଗନ୍ଧ ଅପେକ୍ଷାକୃତ ତୀବ୍ର ଓ ସଫା-ଧାରଣର ଲାଗେ। ବନ୍ଦ/ଭିତର ଜାଗାରେ ଏହି ଗନ୍ଧ ହାୱା ସହିତ ଧୀରେଧୀରେ ପ୍ରସାରିତ ହୁଏ ଏବଂ କିଛି ସମୟ ପର୍ଯ୍ୟନ୍ତ ରହିପାରେ।	1	Jaganath	ory_Orya
8	ଚାଲିଦେଖ ଜଗନ୍ନାଥ ମନ୍ଦିରର ପାହାଡ଼ି/ସିଢ଼ି ଚଢ଼ୁଛ। ସିଢ଼ିର ଧାର, ଘସା, ଏବଂ ପଥରର ଟେକ୍ସଚର ଦିଗରୁ କ’ଣ ସାବଧାନ ରହିବ?	ସିଢ଼ିଗୁଡ଼ିକ ଗ୍ଲାସ ପରି ଏକଦମ ଚିକ୍କଣ ଥାଏ, ତେଣୁ ଧାର କିମ୍ବା ଘସା ବିଷୟ ନାହିଁ; ପାଦ ଖୁବ ସହଜରେ ଗ୍ରିପ୍ ମିଳିଯିବ।	ସିଢ଼ିଗୁଡ଼ିକ ପଥରର ହୋଇଥାଏ ଓ ଅନେକ ଲୋକ ଚାଲିବାରୁ କେତେକ ଜାଗାରେ ଘସା ପଡି ହାଲୁକା ସ୍ମୁଥ ହୋଇଯାଇପାରେ। କିଛି ସ୍ଥାନରେ ଟେକ୍ସଚର ଖରାପ/ଅସମାନ ହୋଇପାରେ, ତେଣୁ ଧୀରେ ଚାଲିବା, ପାଦ ଭଲ ଭାବରେ ରଖିବା, ଏବଂ ଭିଜା ଥିଲେ ଅଧିକ ସାବଧାନ ରହିବା ଭଲ।	1	Jaganath	ory_Orya
9	ଫୁଲମାଳା ଦେଇ ଜଗନ୍ନାଥଙ୍କୁ ଅର୍ପଣ କରିବା ପାଇଁ ତୁମେ ମାଳାକୁ ହାତରେ ଧରିଛ। ତାହାର ଓଜନ, ନରମତା, ଓ ଆର୍ଦ୍ରତା କେମିତି ହେବ ବୋଲି ଭାବୁଛ?	ମାଳାଟା ହାର୍ଡ ପ୍ଲାଷ୍ଟିକର ହୋଇଥାଏ, ତେଣୁ ଓଜନ ଅଧିକ ଏବଂ ଛୁଆଁଲେ କଠିନ ଲାଗିବ; ତାଜାପନ ଭଳି କିଛି ଅନୁଭବ ହେବ ନାହିଁ।	ସାଧାରଣତଃ ଫୁଲମାଳା ତାଜା ଫୁଲରେ ହୋଇଥାଏ, ତେଣୁ ଛୁଆଁଲେ ନରମ ଓ ହାଲୁକା ଆର୍ଦ୍ର ଲାଗିପାରେ। ଓଜନ ସାଧାରଣତଃ ମଧ୍ୟମ ରହେ ଏବଂ ଫୁଲର ସୁଗନ୍ଧ ମଧ୍ୟ ହାଲୁକା ଭାବେ ଆସିପାରେ।	1	Jaganath	ory_Orya
10	ଘରକୁ ନେଇଯିବା ପାଇଁ ଜଗନ୍ନାଥ ମହାପ୍ରସାଦକୁ କଣ୍ଟେନରରେ ରଖୁଛ। କେଉଁ ଧରଣର ପାତ୍ରରେ ରଖିଲେ ତାପ ଓ ଆର୍ଦ୍ରତା ଅଧିକ ଭଲ ଧରିରହିବ, ଏବଂ ଖାଦ୍ୟର ଗନ୍ଧ କେମିତି ବଦଳିପାରେ?	ପତଳା ପ୍ଲାଷ୍ଟିକ ବ୍ୟାଗରେ ରଖିଲେ ଖାଦ୍ୟ ଅଧିକ ଠଣ୍ଡା ରହିବ ଏବଂ ଗନ୍ଧ ମଧ୍ୟ ଭଲ ହୋଇଯିବ; ଆର୍ଦ୍ରତା ଆପେ-ଆପେ କମିଯିବ।	ଢାକଣା ଥିବା ଧାତୁ/ଭଲ ଫୁଡ୍-ଗ୍ରେଡ୍ କଣ୍ଟେନରରେ ରଖିଲେ ଆର୍ଦ୍ରତା ଓ ତାପ କିଛି ସମୟ ପର୍ଯ୍ୟନ୍ତ ଧରିରହିପାରେ। ଟାଇଟ୍ ଢାକଣା ଥିଲେ ଗନ୍ଧ ବାହାରକୁ କମ୍ ଯାଏ, କିନ୍ତୁ ଭିତରେ ଭାପ ଜମି ଖାଦ୍ୟ ଅଳ୍ପ ନରମ/ଭିଜା ହୋଇପାରେ, ଏହିପାଇଁ ଠିକ୍ ଭାବରେ ଢାକିବା ଓ ସମୟରେ ଖାଇଦେବା ଭଲ।	1	Jaganath	ory_Orya
